Type,Titre,URL,Texte,Image_URL
Menu,Ecrire au Gouvernement,https://www.gouv.ci/_ecrireaugouvernement.php,,
Menu,"Twitter
Facebook
Instagram
Youtube
linkedin",,,
Menu,Twitter,,,
Menu,Twitter,https://twitter.com/gouvci,,
Menu,Facebook,,,
Menu,Facebook,https://www.facebook.com/gouvci.officiel?fref=ts,,
Menu,Instagram,,,
Menu,Instagram,https://www.instagram.com/gouvci.officiel,,
Menu,Youtube,,,
Menu,Youtube,https://www.youtube.com/user/gouvcivideo,,
Menu,linkedin,,,
Menu,linkedin,https://www.gouv.ci/Main2.php,,
Menu,Portail officiel du gouvernement de Cote d'Ivoirewww.gouv.ci,https://www.gouv.ci/,,
Menu,UP,https://www.gouv.ci/Main2.php,,
Menu,DOWN,https://www.gouv.ci/Main2.php,,
